first_name,last_name,team,games_suspended,category,desc.,year,source
Antwan,Odom,CIN,4,PEDs,,2010,http://sports.espn.go.com/nfl/news/story?id=5687593
Calvin,Pace,NYJ,4,PEDs,,2009,http://sports.espn.go.com/nfl/news/story?id=4303126
Julius,Peppers,CAR,4,PEDs,,2002,http://www.nytimes.com/2002/12/04/sports/pro-football-peppers-to-serve-four-game-suspension.html
Kenny,Peterson,DEN,4,PEDs,,2007,http://www.denverpost.com/ci_6314165
Luke,Petitgout,TB,4,PEDs,,2008,http://tbo.com/sports/sports/2008/aug/20/sp-petitgout-violated-nfl-steroids-policy-ar-136563/
Austin,Pettis,STL,4,PEDs,,2014,http://www.foxsports.com/nfl/story/St-Louis-Rams-wide-receiver-Austin-Pettis-suspended-four-games-for-NFL-drug-policy-violation-122111?gt1=39002
Andrew,Pinnock,SD,4,PEDs,,2004,http://www.utsandiego.com/news/2004/Nov/10/chargers-fullback-andrew-pinnock-suspended-for/
Rollin,Putzier,SF,4,PEDs,,1989,http://articles.latimes.com/1989-08-30/sports/sp-1284_1_nfl-suspends
Rick,Razzano,TB,4,PEDs,,2005,http://sports.espn.go.com/espn/wire?section=nfl&id=2163692
LaRoy,Reynolds,JAX,4,PEDs,,2013,http://espn.go.com/nfl/story/_/id/9967595/laroy-reynolds-jacksonville-jaguars-suspended-4-games-positive-test
Bobby,Riley,NYJ,3,PEDs,,1989,http://www.nytimes.com/1989/08/30/sports/two-suspended-jets-are-out-of-a-job.html
Gerell,Robinson,ARI,4,PEDs,,2012,http://profootballtalk.nbcsports.com/2012/09/22/gerell-robinson-gets-four-game-suspension/
Shaun,Rogers,DET,4,PEDs,,2006,http://sports.espn.go.com/nfl/news/story?id=2630061
Tyler,Sash,NYG,4,PEDs,,2012,http://espn.go.com/new-york/nfl/story/_/id/8219721/tyler-sash-new-york-giants-suspended-four-games
Todd,Sauerbrun,DEN,4,PEDs,,2006,http://sports.espn.go.com/nfl/news/story?id=2512355
Quentin,Saulsberry,DEN,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000217875/article/quentin-saulsberry-of-denver-broncos-had-dui-arrest
Orlando,Scandrick,DAL,4,PEDs,MDMA,2014,http://espn.go.com/dallas/nfl/story/_/id/11341354/orlando-scandrick-dallas-cowboys-suspended-four-games-performance-enhancing-drugs
Scott,Shanle,STL,4,PEDs,,2003,http://www.utsandiego.com/sports/nfl/20080921-9999-1s21list.html
Daimon,Shelton,CHI,4,PEDs,,2002,http://www.nytimes.com/2001/10/07/sports/pro-football-notebook-nfl-is-seeing-fewer-flaws-in-testing-players-for-drugs.html
T.J.,Slaughter,JAX,4,PEDs,,2002,http://articles.orlandosentinel.com/2002-09-07/sports/0209070474_1_slaughter-coleman-tennessee-titans
Will,Smith,NO,2,PEDs,,2012,http://www.nfl.com/news/story/09000d5d821ea898/article/nfl-suspends-vikes-williams-saints-smith-in-starcaps-case
Ron,Solt,PHI,4,PEDs,,1989,http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html
Brandon,Spikes,NE,4,PEDs,,2010,http://sports.espn.go.com/boston/nfl/news/story?id=5906897
Shawn,Springs,SEA,4,PEDs,,2001,http://articles.philly.com/2001-11-28/sports/25320203_1_seahawks-springs-lamar-chapman-browns-president-carmen-policy
Joel,Steed,PIT,4,PEDs,,1995,http://articles.chicagotribune.com/1995-10-24/sports/9510240320_1_nose-tackle-joel-steed-bernard-williams-nfl
Matt,Stevens,PHI,4,PEDs,,1997,http://articles.philly.com/2014-07-02/sports/51005838_1_lane-johnson-groveton-linebacker-jake-knott
Marcus,Stroud,JAX,4,PEDs,,2007,http://sports.espn.go.com/nfl/news/story?id=3088185
Aqib,Talib,TB,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000079902/article/aqib-talib-of-buccaneers-suspended-four-games-for-adderall-use
Henry,Taylor,CHI,4,PEDs,,1999,http://www.nytimes.com/2001/10/07/sports/pro-football-notebook-nfl-is-seeing-fewer-flaws-in-testing-players-for-drugs.html
Hollis,Thomas,NO,4,PEDs,,2006,http://sports.espn.go.com/nfl/news/story?id=2687451
Jaimie,Thomas,IND,4,PEDs,,2011,http://espn.go.com/nfl/story/_/id/7062953/indianapolis-colts-guard-jaime-thomas-banned-4-games-violating-steroid-policy
Ryan,Tucker,CLE,4,PEDs,,2007,http://www.nfl.com/news/story/09000d5d8012fe77/article/browns-offensive-lineman-ryan-tucker-suspended-4-games-for-violating-nfl-steroid-policy
Keith,Uecker,GB,4,PEDs,,1989,http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html
Artie,Ulmer,MIN,4,PEDs,,1997,http://www.apnewsarchive.com/1997/Vikings-rookie-suspended-for-steroid-use/id-6fa45c120b20b6e4d035442c8a62da30
Jude,Waddy,GB,4,PEDs,,1998,http://a.espncdn.com/nfl/columns/pasquarelli_len/1403350.html
John,Welbourn,KC,4,PEDs,,2005,http://sports.espn.go.com/nfl/columns/story?columnist=pasquarelli_len&id=2150559
Lyle,West,NYG,4,PEDs,,1999,http://static.espn.go.com/nfl/news/1999/1201/205894.html
Paul,Wiggins,PIT,4,PEDs,,1998,http://alb.merlinone.net/mweb/wmsql.wm.request?oneimage&imageid=5942417
Bobbie,Williams,CIN,4,PEDs,,2014,http://www.foxsports.com/nfl/story/Cincinnati-Bengals-Bobbie-Williams-suspension-substance-abuse-policy-090311?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxsports%2FRSS%2FNFL+(FOXSports.com+News+for+NFL)
D.J.,Williams,DEN,6,PEDs,"Alleged ""non-human"" urine in system",2012,http://espn.go.com/nfl/story/_/id/7667289/denver-broncos-dj-williams-ryan-mcbean-virgil-green-suspended
Kevin,Williams,MIN,2,PEDs,,2011,http://espn.go.com/nfl/story/_/id/6922853/nfl-suspends-minnesota-vikings-kevin-williams-three-others-two-games
Pat,Williams,IND,2,PEDs,,2011,http://espn.go.com/nfl/story/_/id/6922853/nfl-suspends-minnesota-vikings-kevin-williams-three-others-two-games
Kellen,Winslow,NYJ,4,PEDs,,2013,http://www.nfl.com/news/story/0ap2000000260647/article/kellen-winslow-suspended-4-games-for-ped-violation
Eric,Wright,TB,4,PEDs,,2012,http://espn.go.com/nfl/story/_/id/8680228/eric-wright-tampa-bay-buccaneers-suspended-4-games
Frank,Wycheck,WAS,4,PEDs,,1994,http://articles.philly.com/1994-11-30/sports/25868967_1_frank-wycheck-steroids-nfl-policy
Tom,Zbikowski,FREE,4,PEDs,,2013,http://espn.go.com/nfl/story/_/id/9660103/nfl-suspends-free-agents-tom-zbikowski-brandon-mcdonald
Lee,Ziemba,CAR,4,PEDs,,2012,http://blogs.charlotte.com/panthers/2012/10/ziemba-suspended-4-games-for-violating-ped-policy.html
Ricky,Williams,MIA,5,PEDs,,1990,http://articles.sun-sentinel.com/1990-08-24/sports/9002100425_1_alfred-oglesby-shula-brian-sochia
DeQuin,Evans,SEA,8,"PEDs, repeated offense",,2013,http://www.nfl.com/news/story/0ap1000000236542/article/dequin-evans-suspended-eight-bengals-games-for-peds
Jason,Ferguson,FREE,8,"PEDs, repeated offense",,2010,http://sports.espn.go.com/nfl/news/story?id=4973457
Asa,Jackson,BAL,8,"PEDs, repeated offense",,2013,http://www.nfl.com/news/story/0ap1000000225102/article/ravens-asa-jackson-banned-8-games-for-violating-ped-policy
Weslye,Saunders,IND,8,"PEDs, repeated offense",,2013,http://espn.go.com/nfl/story/_/id/9509539/indianapolis-colts-release-weslye-saunders
Hollis,Thomas,FREE,8,"PEDs, repeated offense",,2010,http://profootballtalk.nbcsports.com/2010/07/01/hollis-thomas-career-could-end-with-suspension/
Ryan,Tucker,CLE,8,"PEDs, repeated offense",,2010,http://profootballtalk.nbcsports.com/2010/03/07/ryan-tucker-jason-ferguson-suspended-eight-games-each/
Jared,Allen,KC,4,Personal conduct,"DUI arrest, multiple",2007,http://sports.espn.go.com/nfl/news/story?id=2851494
Jonathan,Babineaux,ATL,1,Personal conduct,Accused of battery and resisting arrest,2010,http://usatoday30.usatoday.com/sports/football/nfl/falcons/2010-08-03-jonathan-babineaux_N.htm
Cedric,Benson,DEN,3,Personal conduct,Misdemeanour assault,2014,http://www.foxsports.com/nfl/story/Cincinnati-Bengals-RB-Cedric-Benson-suspended-three-games-092211
Cedric,Benson,PIT,1,Personal conduct,Misdemeanour assault,2014,http://espn.go.com/nfl/story/_/id/7119178/suspension-cincinnati-bengals-cedric-benson-reduced-1-game-3
Rocky,Bernard,SEA,1,Personal conduct,Assault,2008,http://seattletimes.com/html/seahawks/2008148770_webhawk31.html
Aaron,Berry,CLE,3,Personal conduct,DUI arrest,2012,http://www.nfl.com/news/story/0ap1000000052406/article/aaron-berry-gets-3game-nfl-suspension-for-arrests
Michael,Boley,NYG,1,Personal conduct,Domestic violence,2009,http://sports.espn.go.com/nfl/news/story?id=4311313
Sam,Brandon,DEN,2,Personal conduct,Domestic violence,2007,http://www.denverpost.com/broncos/ci_6362668
Jeremy,Bridges,ARI,2,Personal conduct,"Arrest, misdemeanour assault for pointing gun at stripper",2012,http://www.newsobserver.com/2012/11/14/2482573/guard-jeremy-bridges-to-get-2nd.html
Kenny,Britt,TEN,1,Personal conduct,DUI arrest,2012,http://www.nfl.com/news/story/0ap1000000056660/article/kenny-britt-of-titans-suspended-one-game-by-nfl
Dwayne,Carswell,DEN,1,Personal conduct,Domestic violence,2003,http://a.espncdn.com/nfl/news/2003/0703/1576427.html
Jarrod,Cooper,CAR,4,Personal conduct,"DUI arrest, drugs",2003,http://www.usatoday.com/sports/nfl/arrests/all/car/all/
Demarcus,Dobbs,SF,1,Personal conduct,"DUI arrest, possession of marijuana",2013,http://espn.go.com/nfl/trainingcamp13/story/_/id/9568430/demarcus-dobbs-san-francisco-49ers-suspended-week-1
Fred,Evans,MIN,2,Personal conduct,Marijuana-related,2012,http://www.nfl.com/news/story/09000d5d80496e88/article/vikings-evans-gets-twogame-suspension-per-nfl-conduct-policy
Jerome,Felton,CAR,3,Personal conduct,Reckless driving,2013,http://www.nfl.com/news/story/0ap1000000234517/article/minnesota-vikings-jerome-felton-suspended-3-games
Frank,Filchock,NYG,36,Personal conduct,Gambling-related,1947,http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock
Mike,Goodson,NYJ,4,Personal conduct,"Arrest, possession of weapon and marijuana",2013,http://espn.go.com/new-york/nfl/story/_/id/9603404/mike-goodson-new-york-jets-suspended-4-games
